empresa_id,fecha,asistentes,capacidad_maxima,precio_entrada,ingresos_totales,ocupacion_porcentaje,factor_estacional,dia_semana,mes,año
07acd16b556dd864,2020-01-02,196,297,582.41,114152.98,66.0,0.8,Thursday,1,2020
4d3c3e21704186d6,2020-01-07,1150,1786,415.55,477884.5,64.4,0.8,Tuesday,1,2020
d6b81da7ff177362,2020-01-07,165,302,584.33,96414.88,54.6,0.8,Tuesday,1,2020
039159df8a511e8a,2020-01-08,1146,1804,492.59,564503.39,63.5,0.8,Wednesday,1,2020
d6b81da7ff177362,2020-01-08,174,302,538.01,93614.12,57.6,0.8,Wednesday,1,2020
f10ba6f1ebd530a4,2020-01-10,498,1151,1364.6,679570.21,43.3,0.8,Friday,1,2020
4d3c3e21704186d6,2020-01-12,1020,1786,521.07,531489.06,57.1,1.04,Sunday,1,2020
039159df8a511e8a,2020-01-12,576,1804,554.98,319666.65,31.9,1.04,Sunday,1,2020
cfe603ecf84ca199,2020-01-15,1218,1984,615.07,749155.15,61.4,0.8,Wednesday,1,2020
4d3c3e21704186d6,2020-01-18,855,1786,502.38,429533.56,47.9,1.04,Saturday,1,2020
37d0d111f3b188d5,2020-01-18,775,1029,502.73,389619.24,75.3,1.04,Saturday,1,2020
4672518ff5f66c70,2020-01-21,349,686,1380.28,481716.11,50.9,0.8,Tuesday,1,2020
b696fa66076665dc,2020-01-21,411,584,549.99,226046.31,70.4,0.8,Tuesday,1,2020
f48605ea51e41b4c,2020-01-21,438,663,839.48,367692.98,66.1,0.8,Tuesday,1,2020
07acd16b556dd864,2020-01-22,166,297,675.59,112147.81,55.9,0.8,Wednesday,1,2020
6654d146e2a0180a,2020-01-24,293,996,1221.97,358036.44,29.4,0.8,Friday,1,2020
7a20e52829bd846d,2020-01-24,1273,1805,363.0,462104.88,70.5,0.8,Friday,1,2020
f10ba6f1ebd530a4,2020-01-26,1046,1151,1540.21,1611062.47,90.9,1.04,Sunday,1,2020
4672518ff5f66c70,2020-01-28,347,686,1414.7,490900.02,50.6,0.8,Tuesday,1,2020
f48605ea51e41b4c,2020-01-29,365,663,728.71,265977.66,55.1,0.8,Wednesday,1,2020
7a20e52829bd846d,2020-01-30,1292,1805,335.46,433408.24,71.6,0.8,Thursday,1,2020
6654d146e2a0180a,2020-01-30,623,996,1361.38,848137.82,62.6,0.8,Thursday,1,2020
4672518ff5f66c70,2020-01-31,194,686,1191.72,231193.08,28.3,0.8,Friday,1,2020
f10ba6f1ebd530a4,2020-01-31,811,1151,1386.7,1124613.08,70.5,0.8,Friday,1,2020
7a20e52829bd846d,2020-02-05,776,1805,290.48,225411.08,43.0,0.7,Wednesday,2,2020
6654d146e2a0180a,2020-02-06,215,996,1046.78,225058.27,21.6,0.7,Thursday,2,2020
37d0d111f3b188d5,2020-02-15,676,1029,402.28,271944.0,65.7,0.91,Saturday,2,2020
4d3c3e21704186d6,2020-02-18,475,1786,422.49,200684.82,26.6,0.7,Tuesday,2,2020
b696fa66076665dc,2020-02-21,191,584,478.71,91433.37,32.7,0.7,Friday,2,2020
cfe603ecf84ca199,2020-02-23,1110,1984,611.05,678268.11,55.9,0.91,Sunday,2,2020
07acd16b556dd864,2020-02-23,121,297,868.69,105112.05,40.7,0.91,Sunday,2,2020
37d0d111f3b188d5,2020-02-27,606,1029,401.96,243588.93,58.9,0.7,Thursday,2,2020
d6b81da7ff177362,2020-02-28,96,302,636.67,61120.22,31.8,0.7,Friday,2,2020
f10ba6f1ebd530a4,2020-02-28,665,1151,1028.91,684227.57,57.8,0.7,Friday,2,2020
7a20e52829bd846d,2020-02-28,839,1805,262.72,220421.54,46.5,0.7,Friday,2,2020
f48605ea51e41b4c,2020-03-01,395,663,1240.71,490081.07,59.6,1.17,Sunday,3,2020
4672518ff5f66c70,2020-03-01,436,686,1344.5,586203.74,63.6,1.17,Sunday,3,2020
6654d146e2a0180a,2020-03-02,310,996,1314.04,407352.87,31.1,0.9,Monday,3,2020
7a20e52829bd846d,2020-03-06,1405,1805,346.76,487198.44,77.8,0.9,Friday,3,2020
f10ba6f1ebd530a4,2020-03-10,515,1151,1488.0,766321.04,44.7,0.9,Tuesday,3,2020
f10ba6f1ebd530a4,2020-03-13,564,1151,1204.32,679235.22,49.0,0.9,Friday,3,2020
f48605ea51e41b4c,2020-03-14,607,663,1174.43,712881.66,91.6,1.17,Saturday,3,2020
4d3c3e21704186d6,2020-03-16,805,1786,446.35,359310.21,45.1,0.9,Monday,3,2020
f48605ea51e41b4c,2020-03-21,503,663,1027.57,516868.65,75.9,1.17,Saturday,3,2020
039159df8a511e8a,2020-03-21,717,1804,660.16,473334.41,39.7,1.17,Saturday,3,2020
07acd16b556dd864,2020-03-22,230,297,695.11,159874.91,77.4,1.17,Sunday,3,2020
07acd16b556dd864,2020-03-23,197,297,650.8,128208.18,66.3,0.9,Monday,3,2020
b696fa66076665dc,2020-03-24,219,584,639.88,140133.65,37.5,0.9,Tuesday,3,2020
37d0d111f3b188d5,2020-04-02,904,1029,452.45,409012.62,87.9,1.1,Thursday,4,2020
4d3c3e21704186d6,2020-04-02,1235,1786,539.34,666083.72,69.1,1.1,Thursday,4,2020
6654d146e2a0180a,2020-04-05,996,996,1872.2,1864707.68,100.0,1.43,Sunday,4,2020
d6b81da7ff177362,2020-04-08,284,302,895.6,254350.44,94.0,1.1,Wednesday,4,2020
37d0d111f3b188d5,2020-04-11,1029,1029,419.45,431610.36,100.0,1.43,Saturday,4,2020
4d3c3e21704186d6,2020-04-11,1443,1786,570.19,822787.02,80.8,1.43,Saturday,4,2020
7a20e52829bd846d,2020-04-11,1653,1805,351.45,580944.39,91.6,1.43,Saturday,4,2020
4672518ff5f66c70,2020-04-22,531,686,1274.88,676959.02,77.4,1.1,Wednesday,4,2020
37d0d111f3b188d5,2020-04-24,571,1029,376.87,215191.16,55.5,1.1,Friday,4,2020
cfe603ecf84ca199,2020-04-25,1012,1984,726.46,735175.74,51.0,1.43,Saturday,4,2020
d6b81da7ff177362,2020-04-25,296,302,1024.28,303185.49,98.0,1.43,Saturday,4,2020
f48605ea51e41b4c,2020-04-25,431,663,1235.75,532609.47,65.0,1.43,Saturday,4,2020
7a20e52829bd846d,2020-04-26,1077,1805,353.86,381102.75,59.7,1.43,Sunday,4,2020
cfe603ecf84ca199,2020-05-02,1984,1984,962.22,1909040.95,100.0,1.56,Saturday,5,2020
4672518ff5f66c70,2020-05-02,329,686,2128.12,700151.48,48.0,1.56,Saturday,5,2020
cfe603ecf84ca199,2020-05-03,1522,1984,921.94,1403188.65,76.7,1.56,Sunday,5,2020
cfe603ecf84ca199,2020-05-05,801,1984,684.71,548456.45,40.4,1.2,Tuesday,5,2020
b696fa66076665dc,2020-05-05,494,584,631.65,312034.54,84.6,1.2,Tuesday,5,2020
f10ba6f1ebd530a4,2020-05-05,691,1151,1315.72,909162.38,60.0,1.2,Tuesday,5,2020
4672518ff5f66c70,2020-05-06,586,686,1332.28,780715.05,85.4,1.2,Wednesday,5,2020
039159df8a511e8a,2020-05-07,1407,1804,662.94,932759.67,78.0,1.2,Thursday,5,2020
cfe603ecf84ca199,2020-05-09,1434,1984,928.94,1332102.56,72.3,1.56,Saturday,5,2020
b696fa66076665dc,2020-05-11,517,584,677.99,350521.5,88.5,1.2,Monday,5,2020
37d0d111f3b188d5,2020-05-12,655,1029,453.69,297168.34,63.7,1.2,Tuesday,5,2020
07acd16b556dd864,2020-05-13,204,297,894.03,182381.2,68.7,1.2,Wednesday,5,2020
7a20e52829bd846d,2020-05-15,1805,1805,434.24,783808.53,100.0,1.2,Friday,5,2020
