empresa_id,fecha_inicio,giro,tipo_campana,presupuesto,alcance,conversiones,tasa_conversion,ventas_generadas,ingresos_generados,roi,factor_estacional,mes,año
03c05d2da66862a7,2020-01-01,atraccion_turistica,google_ads,5233.31,45268,977,2.16,206,171217.55,3171.68,0.72,1,2020
05ac81611f03d486,2020-01-01,agencia_viajes,facebook_ads,58830.32,595821,7149,1.2,1645,13857108.07,23454.36,0.48,1,2020
0af23ea804f85cda,2020-01-01,hotel,email_marketing,7580.28,52651,1895,3.6,369,414930.18,5373.81,0.72,1,2020
11b50a632841a0d3,2020-01-01,restaurante,vallas_publicitarias,1813.44,16666,58,0.35,10,2673.96,47.45,0.7,1,2020
121745fe6fa003ce,2020-01-01,spa_wellness,google_ads,3809.68,57072,1232,2.16,460,196373.16,5054.58,0.72,1,2020
19ada0d81451abfc,2020-01-01,comercio_souvenirs,instagram_ads,7669.34,66868,962,1.44,270,359116.17,4582.49,0.72,1,2020
1d61d8c1dd2b555e,2020-01-01,hotel,google_ads,19314.07,194465,4200,2.16,875,859251.42,4348.84,0.72,1,2020
20ba2af0163d36c7,2020-01-01,comercio_souvenirs,google_ads,22766.52,248745,5372,2.16,925,986762.45,4234.27,0.72,1,2020
251b0924c9020066,2020-01-01,renta_vehiculos,facebook_ads,4197.48,40757,733,1.8,273,492714.0,11638.34,0.72,1,2020
2cdff053e8572928,2020-01-01,atraccion_turistica,google_ads,13396.57,174653,3772,2.16,1082,960022.82,7066.18,0.72,1,2020
36e54115a5429566,2020-01-01,agencia_viajes,influencer_marketing,77131.5,459655,10296,2.24,3763,26471322.04,34219.73,0.56,1,2020
37d0d111f3b188d5,2020-01-01,evento,facebook_ads,41241.15,596474,8947,1.5,2364,1115547.95,2604.94,0.6,1,2020
3ec5c959aaf19cbe,2020-01-01,restaurante,google_ads,2264.24,24309,612,2.52,207,52340.79,2211.63,0.84,1,2020
46fb7351661a2bac,2020-01-01,agencia_viajes,instagram_ads,38716.3,423970,4070,0.96,1431,24849631.85,64083.91,0.48,1,2020
47f1f97574fa448e,2020-01-01,hotel,instagram_ads,17410.56,180396,2597,1.44,800,928615.29,5233.63,0.72,1,2020
4de67df28cc74ff1,2020-01-01,agencia_viajes,google_ads,72613.91,717963,10338,1.44,3669,11391779.59,15588.15,0.48,1,2020
4ea36ae3e15bdab5,2020-01-01,hotel,email_marketing,9037.48,75685,2724,3.6,978,1642524.58,18074.58,0.72,1,2020
550b94c6f57ebc3b,2020-01-01,restaurante,vallas_publicitarias,650.33,4699,16,0.35,2,468.27,-28.0,0.7,1,2020
66008899bbff20e1,2020-01-01,renta_vehiculos,instagram_ads,2011.4,23877,343,1.44,107,43371.36,2056.28,0.72,1,2020
6654d146e2a0180a,2020-01-01,evento,facebook_ads,60812.39,826326,12394,1.5,2125,3436011.27,5550.18,0.6,1,2020
6fa6bc658f2c197b,2020-01-01,spa_wellness,facebook_ads,6792.26,75868,1365,1.8,468,379826.93,5492.06,0.72,1,2020
7692950abff62110,2020-01-01,hotel,google_ads,3694.96,43089,930,2.16,329,670756.52,18053.29,0.72,1,2020
7a20e52829bd846d,2020-01-01,evento,facebook_ads,19349.9,158295,2374,1.5,436,183968.53,850.75,0.6,1,2020
8353a07782010c00,2020-01-01,agencia_viajes,google_ads,165438.52,1984489,28576,1.44,7706,114243093.99,68954.71,0.48,1,2020
8791fb4d19b9c94c,2020-01-01,restaurante,radio_local,2444.34,79757,357,0.448,61,55059.85,2152.55,0.56,1,2020
8f1d55542cad62ff,2020-01-01,hotel,radio_local,11800.02,286647,1100,0.384,315,447176.05,3689.62,0.48,1,2020
9ee5ffc41e78b63e,2020-01-01,transporte,radio_local,27414.07,1020050,3916,0.384,1386,2980510.31,10772.19,0.48,1,2020
a271a74c4699a947,2020-01-01,agencia_viajes,google_ads,205201.97,2435047,35064,1.44,12128,135979469.13,66166.16,0.48,1,2020
a826757ea3785429,2020-01-01,renta_vehiculos,vallas_publicitarias,12001.37,142496,427,0.3,131,101637.52,746.88,0.6,1,2020
c7a81178a481fdc8,2020-01-01,transporte,email_marketing,23728.28,148634,5350,3.6,1562,3616947.48,15143.19,0.72,1,2020
d0270f3601b6d4a2,2020-01-01,restaurante,facebook_ads,2408.51,19409,407,2.1,69,23185.96,862.67,0.84,1,2020
d38f649eda8138c5,2020-01-01,agencia_viajes,email_marketing,93562.46,800701,19216,2.4,7603,46994750.41,50128.21,0.48,1,2020
d6b81da7ff177362,2020-01-01,evento,google_ads,13568.03,111326,2003,1.8,788,520803.42,3738.46,0.6,1,2020
da5251a2ff836b56,2020-01-01,transporte,email_marketing,2088.68,19619,706,3.6,267,307864.03,14639.64,0.72,1,2020
e538318dcfcaacaf,2020-01-01,restaurante,email_marketing,1685.01,14761,619,4.2,214,134652.27,7891.17,0.84,1,2020
e69fbfe59696e502,2020-01-01,restaurante,instagram_ads,1593.88,17120,287,1.68,48,24106.23,1412.42,0.84,1,2020
f10ba6f1ebd530a4,2020-01-01,evento,influencer_marketing,43450.78,217805,6098,2.8,1255,1569344.16,3511.77,0.7,1,2020
f48605ea51e41b4c,2020-01-01,evento,radio_local,91641.03,2522673,8072,0.32,1809,2040479.46,2126.6,0.4,1,2020
0af23ea804f85cda,2020-01-26,hotel,email_marketing,3571.66,22153,797,3.6,315,294076.03,8133.59,0.72,1,2020
1447c4b75767a5aa,2020-01-26,restaurante,influencer_marketing,692.28,4792,187,3.92,72,35466.64,5023.17,0.98,1,2020
3c7e60bd8ed648ad,2020-01-26,spa_wellness,instagram_ads,5835.49,55285,796,1.44,266,439317.63,7428.38,0.72,1,2020
4350787a0c6c9c82,2020-01-26,restaurante,tv_local,7796.96,309944,1041,0.336,253,194758.57,2397.88,0.56,1,2020
4e750b3ebcaae20d,2020-01-26,agencia_viajes,instagram_ads,122190.68,1419455,13626,0.96,4478,69788205.71,57014.18,0.48,1,2020
8791fb4d19b9c94c,2020-01-26,restaurante,facebook_ads,3315.37,28216,592,2.1,216,160783.28,4749.63,0.84,1,2020
8353a07782010c00,2020-01-27,agencia_viajes,periodico_local,164641.19,1678689,6714,0.4,1288,14146401.06,8492.26,0.4,1,2020
c254ee4daa69de3b,2020-01-27,restaurante,google_ads,4760.28,39624,998,2.52,187,96869.81,1934.96,0.84,1,2020
d6b81da7ff177362,2020-01-27,evento,radio_local,17727.11,658373,2106,0.32,636,505766.17,2753.07,0.4,1,2020
039159df8a511e8a,2020-01-28,evento,google_ads,23651.41,215420,3877,1.8,1434,656670.31,2676.45,0.6,1,2020
0baff7e7db294ba8,2020-01-28,agencia_viajes,instagram_ads,211402.4,2658390,25520,0.96,5378,27192725.27,12763.02,0.48,1,2020
19ada0d81451abfc,2020-01-28,comercio_souvenirs,facebook_ads,7531.26,74865,1347,1.8,520,736120.72,9674.21,0.72,1,2020
d3c3d9152aab2b0e,2020-01-28,restaurante,facebook_ads,830.26,8607,180,2.1,42,17696.07,2031.4,0.84,1,2020
e69fbfe59696e502,2020-01-28,restaurante,facebook_ads,4933.88,52212,1096,2.1,360,173078.19,3407.95,0.84,1,2020
e7bdd5aeb4852632,2020-01-28,agencia_viajes,vallas_publicitarias,134223.11,1308767,2617,0.2,629,5264841.1,3822.45,0.4,1,2020
121745fe6fa003ce,2020-01-29,spa_wellness,tv_local,4875.48,167998,483,0.288,171,77036.64,1480.08,0.48,1,2020
2b6f9ff82b9e5823,2020-01-29,transporte,google_ads,39629.87,484857,10472,2.16,3297,5674054.78,14217.62,0.72,1,2020
01baf11fc1b03c51,2020-01-30,restaurante,vallas_publicitarias,4193.94,23768,83,0.35,16,10717.89,155.56,0.7,1,2020
5f5d8e0fd9f57ee1,2020-01-30,atraccion_turistica,vallas_publicitarias,3264.27,29568,88,0.3,26,34384.58,953.36,0.6,1,2020
bd30bb1a05231e8d,2020-01-30,hotel,google_ads,40006.23,351636,7595,2.16,1435,5778258.33,14343.4,0.72,1,2020
46fb7351661a2bac,2020-01-31,agencia_viajes,tv_local,63732.0,1490139,2861,0.192,786,12810718.45,20000.92,0.32,1,2020
4de67df28cc74ff1,2020-01-31,agencia_viajes,facebook_ads,59137.05,571120,6853,1.2,1171,3357814.21,5578.02,0.48,1,2020
251b0924c9020066,2020-02-01,renta_vehiculos,instagram_ads,9238.13,100295,1203,1.2,423,733126.84,7835.88,0.6,2,2020
4cd7746bbd41ddab,2020-02-01,restaurante,influencer_marketing,1386.32,10129,340,3.36,83,27973.68,1917.84,0.84,2,2020
be1df60bfb9dc772,2020-02-01,restaurante,instagram_ads,6561.74,93993,1353,1.44,522,350154.46,5236.31,0.72,2,2020
05ac81611f03d486,2020-02-02,agencia_viajes,influencer_marketing,85420.4,541298,9093,1.68,2284,16491072.0,19205.78,0.42,2,2020
11b50a632841a0d3,2020-02-02,restaurante,google_ads,2792.29,23440,506,2.16,167,60863.5,2079.7,0.72,2,2020
2de355e7c96a4d7c,2020-02-02,agencia_viajes,google_ads,53978.25,744252,8037,1.08,2259,10667149.81,19661.94,0.36,2,2020
a826757ea3785429,2020-02-02,renta_vehiculos,instagram_ads,10490.37,106450,1277,1.2,304,275087.07,2522.28,0.6,2,2020
cfe603ecf84ca199,2020-02-02,evento,email_marketing,27340.3,212693,5104,2.4,896,524034.14,1816.71,0.48,2,2020
da5251a2ff836b56,2020-02-02,transporte,influencer_marketing,2542.51,18881,528,2.8,158,194774.66,7560.72,0.7,2,2020
1b47988b793c02ef,2020-02-03,restaurante,google_ads,873.02,11437,247,2.16,39,14834.49,1599.22,0.72,2,2020
e46939e517e37016,2020-02-03,hotel,vallas_publicitarias,5698.41,36115,90,0.25,22,38252.04,571.28,0.5,2,2020
fc83dcabea5116d9,2020-02-03,atraccion_turistica,tv_local,1929.09,68453,164,0.24,51,9021.86,367.67,0.4,2,2020
03c05d2da66862a7,2020-02-04,atraccion_turistica,google_ads,8793.76,77443,1393,1.8,545,461744.16,5150.82,0.6,2,2020
4ea36ae3e15bdab5,2020-02-04,hotel,periodico_local,6446.21,45422,227,0.5,65,101308.51,1471.6,0.5,2,2020
b01eb8b2f0041638,2020-02-04,transporte,google_ads,23890.08,339949,6119,1.8,1633,3368548.84,14000.2,0.6,2,2020
d2ae43a9b560b15b,2020-02-04,restaurante,facebook_ads,1915.07,21586,388,1.8,85,28653.16,1396.2,0.72,2,2020
1d61d8c1dd2b555e,2020-02-23,hotel,email_marketing,11082.34,73539,2206,3.0,434,425473.92,3739.21,0.6,2,2020
7692950abff62110,2020-02-23,hotel,email_marketing,1809.67,15361,460,3.0,163,283901.89,15588.03,0.6,2,2020
0baff7e7db294ba8,2020-02-24,agencia_viajes,google_ads,204323.16,2166660,23399,1.08,8588,58170958.24,28370.08,0.36,2,2020
1447c4b75767a5aa,2020-02-24,restaurante,email_marketing,427.52,4571,164,3.6,51,22158.19,5082.92,0.72,2,2020
c254ee4daa69de3b,2020-02-24,restaurante,vallas_publicitarias,3031.35,26878,80,0.3,29,21330.88,603.68,0.6,2,2020
4367ee8635407216,2020-02-25,restaurante,google_ads,782.92,6459,139,2.16,45,9817.53,1153.97,0.72,2,2020
4672518ff5f66c70,2020-02-25,evento,google_ads,87544.97,1248067,17972,1.44,3846,5297957.52,5951.7,0.48,2,2020
9bc25ce304faeb12,2020-02-25,restaurante,instagram_ads,4379.76,50180,722,1.44,200,92594.66,2014.15,0.72,2,2020
bd30bb1a05231e8d,2020-02-25,hotel,instagram_ads,48403.24,526913,6322,1.2,2007,6746983.39,13839.11,0.6,2,2020
d3c3d9152aab2b0e,2020-02-25,restaurante,email_marketing,844.3,6556,236,3.6,68,31421.19,3621.56,0.72,2,2020
